,ALPHA_M,Field,GLAT,GLON,M_H,VGSR,X,Y,Z,pmbb,pmll,pmll_gsr,shdist,zbins
308553,0.22463606,004-04          ,-4.39242429423,4.42501605631,-0.58350986,6.921274519126485,10.401382,0.804919,-0.80136377,0.7769613858852202,-5.777150065134261,0.12284993486573903,10.4632136124,2.0
308556,0.00759805,005-03          ,-3.70071883644,5.71164511166,0.1541018,-92.95332140986606,8.240536,0.8242128,-0.5356673,2.6475560716726543,-4.465490611970767,1.434509388029233,8.29895754773,3.0
308562,0.21697606,003-05          ,-5.5424930642,2.28460198847,-0.31115514,-53.28938755327465,8.473771,0.33806685,-0.8229411,3.265791888932242,-5.471964624695198,0.42803537530480273,8.52034692088,2.0
308564,0.15042606,004-04          ,-4.32823320765,4.55432571387,0.43049484,-43.19162467215847,5.9736867,0.47584337,-0.45356524,1.4331108966221109,-1.999455669364933,3.9005443306350673,6.00974877653,3.0
308573,0.016225103,018+02          ,2.67760267432,17.4266935258,-0.015827935,150.90219124845805,5.122765,1.608004,0.25109267,-3.057762095782666,0.12516156271614798,6.025161562716148,5.37507621185,5.0
308579,-0.01133395,003-05          ,-5.08921166929,3.14977027449,0.29816484,-92.4653280956873,6.3937855,0.35185024,-0.5702877,0.5907564803565339,-2.53109292983435,3.3689070701656503,6.42880403088,3.0
308586,0.046645027,016+02          ,1.8383145053,15.8985340385,-0.061082378,124.77269472909708,4.614278,1.3142887,0.15398051,-1.3601766421019303,-2.499036883978658,3.4009631160213423,4.80027352912,5.0
308591,0.17765605,008-02          ,-2.48692097854,7.97873094984,-0.14159516,90.61195210769257,7.392911,1.0362136,-0.32424098,0.3787017537919146,-6.864012142805985,-0.9640121428059842,7.4722156472,4.0
308598,0.16708605,003-05-O        ,-4.96235861126,3.40619376055,0.30412486,-129.99098384478498,4.504285,0.26809558,-0.39179075,-0.2852673181892309,-3.4772516378759257,2.4227483621240746,4.52923353901,4.0
308600,-0.008532949,004-04          ,-4.65551802249,3.9798972543,0.10505086,161.7464010867801,8.405555,0.5848164,-0.68616027,4.5972192357708845,-4.261705678356515,1.6382943216434853,8.45376721257,3.0
308603,0.17725605,002-06-O        ,-5.40404065311,2.58289472831,-0.111245155,21.435389008671,6.9423995,0.3131806,-0.6574221,-0.25807324756474026,-6.7051627150923,-0.8051627150922993,6.98048679623,3.0
308605,0.038748052,004-04          ,-4.60109304549,4.08287159812,-0.046191145,83.12592391252035,10.006949,0.71430767,-0.80739623,-4.886719674985674,-6.683249906707797,-0.7832499067077965,10.0648478041,2.0
